Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
36900,66600,39000,49500,94400,133000
39300,66400,37700,49700,90100,138000
37800,66200,32800,44200,93300,181000
38900,65800,36300,48100,95800,124000
41400,64800,35000,47300,93100,125000
39100,64500,35500,48200,89300,128000
37500,64400,32100,46600,97100,129000
39800,64000,38400,45100,95400,128000
39400,63600,40400,47900,85700,117000
38700,63300,33600,45300,83900,118000
38700,62600,36100,45800,87000,124000
40800,62400,32100,47400,80400,126000
35800,60600,35500,46800,81800,102000
34800,60600,34300,46500,72000,91300
37700,59200,32200,40500,73900,96200
40400,58200,25600,46000,84600,117000
41900,56500,30700,39700,78400,116000
37900,50600,22600,31800,78500,98900
35300,43900,27000,32200,60900,87600
